status,title,content,fact,references,tanggal,conclusion
Salah,Cover Majalah TIME 2023: Benjamin Netanyahu disebut sebagai Killer of the Year”,"Everyone please post this on your social media. Killer of the year. Responsible for War Crime, Crime of Apartheid, Crime of Genocide.","Akun Twitter @WeThePeople3009 (Shenaz) mengunggah foto sampul majalah TIME yang menobatkan PM Israel, Benjamin Netanyahu, sebagai “killer of the year”. Cuitan dan foto yang diunggah pada 27 Desember 2023 tersebut telah disukai 83 orang, dibagikan dan dikutip ulang hampir 70 kali, serta telah dilihat hampir 1,500 kali.

Berdasarkan hasil penelusuran, foto tersebut merupakan hasil edit. Majalah TIME, melalui laman resminya menyatakan bahwa untuk 2023, figur penting yang paling berpengaruh pada 2023 versi majalah TIME yaitu Taylor Swift, Lionel Messi, dan Sam Altman. Tidak ada penyebutan Benjamin Netanyahu di artikel tersebut dan tidak ditemukan versi asli cover majalah TIME dengan wajah beliau.

Dengan demikian, informasi yang disebarluaskan @WeThePeople3009 (Shenaz) merupakan konten yang dimanipulasi.","https://turnbackhoax.id/2024/01/05/salah-cover-majalah-time-2023-benjamin-netanyahu-disebut-sebagai-killer-of-the-year/
https://time.com/6343492/time-reveals-poy/",2024-01-05,Konten yang dimanipulasi. Majalah TIME tidak pernah membuat cover dengan judul “Killer of the Year 2023” dengan wajah PM Israel Benjamin Netanyahu.
Salah,Anies Baswedan Berkali-Kali Salah Mengucapkan Sumpah Jabatan,Ayo…Salah nya Dimana Sampai Harus Diulang2… Sumpah jabatan nya,"Beredar sebuah video di media sosial Facebook yang menampilkan acara pelantikan dan sumpah Gubernur DKI Jakarta, Anies Baswedan. Di dalam video tersebut dapat dilihat bahwa saat mengucapkan sumpah, Anies mengulang sebanyak lebih dari 3 kali akibat kurang tepat mengulangi kalimat yang disampaikan Presiden Joko Widodo.

Namun saat ditelusuri lebih lanjut, video yang beredar ini merupakan sebuah hoaks. Melansir dari video pelantikan Gubernur DKI Jakarta yang disiarkan melalui Youtube CNN Indonesia, terlihat gubernur terpilih, Anies Baswedan, tidak mengulang sumpah berkali-kali seperti yang ada di dalam video Facebook tersebut. Di dalam video aslinya, Anies hanya mengulang salah satu kalimat sumpah sebanyak satu kali karena ada kata-kata yang terlewat untuk disebutkan.

Jadi dapat disimpulkan bahwa video Anies Baswedan yang berkali-kali mengulang sumpah jabatannya merupakan video hoaks kategori manipulated content atau konten yang dimanipulasi.","https://www.youtube.com/watch?v=ZBPLmd1T8LU
",2022-05-16,"Hasil Periksa Fakta Gabriela Nauli Sinaga (Universitas Sumatera Utara)

Video tersebut telah diedit. Faktanya Anies Baswedan hanya mengulang sebanyak satu kali kalimat sumpah jabatannya karena ada beberapa kata yang terlewat untuk disebutkan."
Salah,POSTER FESTIVAL LELANG TAHUNAN OLEH DJKN,Beredar tangkapan layar sebuah poster yang menginformasikan adanya festival lelang tahunan diselenggarakan oleh Direktorat Jenderal Kekayaan Negara (DJKN). Dalam poster tersebut disebutkan bahwa kegiatan dilaksanakan pada 1 Juni hingga 3 Juni 2022. [NARASI]: FESTIVAL LELANG TAHUNAN Modernisasi lelang untuk proses jual beli paling aman dan terpercaya atas aset rampasan oleh DJKN juga Bank Swasta. 01-03 JUNI 2022,"Setelah ditelusuri, poster festival lelang tahunan yang beredar adalah hoaks. DJKN melalui akun Twitter resminya @DitjenKn menegaskan poster tersebut adalah penipuan, informasi terkait lelang hanya melalui lelang.go.id. Pihak DJKN mengimbau agar tidak mentransfer uang ke rekening pribadi untuk kegiatan yang mengatasnamakan institusi.

Berdasarkan informasi di atas, poster festival lelang tahunan oleh DJKN adalah palsu dan masuk kategori konten palsu.",https://twitter.com/DitjenKN/status/1532155154715545600t=HrdXSZa8d4QHZlNi9CHSEg&s=19,2022-06-16,"hasil periksa fakta Rahmah An Nisaa (UIN Sunan Ampel Surabaya).

Informasi palsu. Melalui akun Twitter @DitenKN, DJKN menegaskan bahwa informasi terkait lelang hanya melalui situs resmi lelang.go.id, selain itu maka dipastikan informasi tersebut adalah penipuan."
Salah,Maluku Diguncang Gempa Menjelang Waktu Berbuka Puasa pada 12 Maret 2024,"BENCANA ALAM TERBARU ~ SEKARANG DI MALUKU,GEMPA GUNCANG WARGA KETIKA MENJELANG BUKA PUASA | SEKARANG MALUKU, BARU SAJA PUASA HARI PERTAMA MALUKU DI GUNCANG GEMPA","Kanal YouTube @bencanaalam294 mengunggah video dengan klaim bahwa bencana gempa bumi telah mengguncang wilayah Maluku pada 12 Maret 2024. Diketahui gempa tersebut terjadi menjelang waktu berbuka di hari pertama puasa.

Setelah menonton keseluruhan video, faktanya narator hanya membaca ulang artikel milik Kompas.com berjudul “Gempa M 5,2 Guncang Maluku Barat Daya, Tak Berisiko Tsunami”.

Artikel tersebut memberitakan mengenai gempa tektonik berkekuatan magnitudo (M) 5,2 yang mengguncang Kabupaten Maluku, Maluku Barat Daya pada 10 Maret 2024 pukul 12.05 WIT. Meski gempa tersebut masuk dalam tingkat menengah, namun BMKG memastikan bahwa gempa tidak berisiko tsunami.

Sebelumnya diketahui bahwa memang telah terjadi gempa bumi bermagnitudo 4.0 di Elpaputih, Maluku pada 12 Maret 2024. Namun, gempa tersebut tidak terjadi menjelang waktu berbuka seperti yang diklaim pada unggahan, melainkan terjadi pada pukul 22.10 WIT.

Dengan demikian, informasi yang disebarluaskan oleh kanal YouTube @bencanaalam294 merupakan informasi yang salah.","https://regional.kompas.com/read/2024/03/10/104138878/gempa-m-52-guncang-maluku-barat-daya-tak-berisiko-tsunami
https://tirto.id/gempa-hari-ini-12-maret-2024-jam-2010-magnitudo-40-di-elpaputih-gWNy
https://www.malukuterkini.com/2024/03/12/bmkg-ungkap-penyebab-gempa-m-40-guncang-elpaputih-masohi/
https://turnbackhoax.id/2024/03/14/salah-maluku-diguncang-gempa-menjelang-waktu-berbuka-puasa-pada-12-maret-2024/",2024-03-14,"Hasil periksa fakta Ainayya.

Unggahan video yang mengklaim bahwa bencana gempa bumi telah mengguncang Maluku pada 12 Maret 2024 menjelang waktu berbuka puasa merupakan konten yang dimanipulasi. Faktanya, narator hanya membaca ulang artikel berjudul “Gempa M 5,2 Guncang Maluku Barat Daya, Tak Berisiko Tsunami”."
Salah,Aksi Demonstrasi di Malioboro 23 September 2024,Perlawanan kepada Jokowi marak dimana mana. ,"Artikel disadur dari Pemeriksa Fakta Antara News.
Sebuah akun twitter bernama Ali Syarief memposting sebuah video yang diklaim merupakan demonstrasi perlawanan kepada Jokowi yang terjadi pada 23 September 2024 di kawasan Malioboro. Video tersebut pun telah ditonton lebih dari 200 ribu penonton di twitter. 
Dilansir dalam antaranews.com, video tersebut serupa dengan unggahan video di Instagram Jogjaku yang diunggah pada 22 Agustus 2024. Pada tanggal 22 Agustus 2024 memang terjadi aksi unjuk rasa ribuan mahasiswa dan masyarakat Yogyakarta di kawasan Malioboro. Dengan mengenakan baju berwarna hitam, massa aksi menyerukan untuk menjaga demokrasi dan mengawal putusan Mahkamah Konstitusi (MK) terkait syarat pencalonan kepala daerah pada Pilkada 2024.
Sehingga video tersebut bukan merupakan aksi demonstrasi di kawasan malioboro pada 23 September 2024, melainkan aksi unjuk rasa pada 22 Agustus 2024. ","https://www.instagram.com/reel/C-9g8m-S2Kd/?igsh=MTR1eXRkMmkxbWplOQ==
https://m.antaranews.com/amp/berita/4355863/cek-fakta-video-aksi-demontrasi-terhadap-jokowi-di-malioboro-pada-23-september-2024",2024-09-30,"Faktanya, Aksi demo tersebut terjadi pada 22 Agustus 2024 dan bukan pada 23 September 2024. "
Salah,"Keliru, Konten Berisi Klaim India Tidak Terima Pengungsi Rohingya Sejak Dulu karena Populasi Sudah Padat","Video berisi klaim tentang tiga alasan etnis Rohingya tidak mengungsi ke India, beredar di <a href=https://www.tiktok.com/@abang_india/video/7309411160229481733?q=rohingya&amp;t=1703670270804>TikTok</a> [ <a href=https://web.archive.org/save/https://www.tiktok.com/@abang_india/video/7309411160229481733?q=rohingya&amp;t=1703670270804>arsip</a> ]. Salah satu alasan disebut bahwa India tidak menerima orang Rohingya karena populasi yang padat. Video tersebut dibagikan akun ini pada 6 Desember 2023. Seorang pria dalam video itu menjelaskan bahwa ada 3 alasan pengungsi Rohingya tidak mengungsi ke India. Pertama, karena orang Rohingya tidak terima jika disebut sebagai orang India. Kedua, India tidak menerima orang Rohingya dari dulu karena alasan populasi India yang sudah padat. Ketiga, pengungsi Rohingya selalu menuju negara muslim seperti Bangladesh, Malaysia, dan Indonesia Hingga artikel ini dimuat, video tersebut telah mendapat lebih dari 19.300 komentar dan dibagikan sebanyak 3.461 kali. Benarkah pengungsi Rohingya di India?","Hasil verifikasi Tempo menunjukkan bahwa India selama ini menerima pengungsi Rohingya. Berdasarkan laporan <a href=""https://reliefweb.int/report/india/acaps-briefing-note-india-myanmar-refugees-28-july-2023#:~:text=As%20at%202023%2C%20India%20was,11%2F05%2F2023)."">The Assessment Capacities Project (ACAPS)</a> per Juli 2023, India menampung lebih dari 74.600 pengungsi dari Myanmar pada 2023.&nbsp;
Gejolak politik dan kekerasan di Myanmar setelah kudeta militer pada Februari 2021 telah menyebabkan gelombang besar pengungsi dari Myanmar mencari keamanan dan perlindungan di timur laut India. Pengungsi dari Myanmar termasuk pengungsi Rohingya yang &ldquo;tidak mempunyai kewarganegaraan&rdquo; dan warga negara Myanmar, terutama dari negara bagian Chin dan Sagaing.&nbsp;
Mereka sebagian besar mengungsi di negara bagian Arunachal Pradesh, Manipur, Mizoram, dan Nagaland. Populasi Rohingya di India mencakup orang-orang yang melarikan diri dari penganiayaan sebelumnya di Myanmar dan mereka yang baru saja tiba dari kamp di Bangladesh.
Gelombang pengungsi Rohingya telah datang ke India sejak tahun 1970 dari Myanmar dan Bangladesh. Menurut perkiraan publik Pemerintah India pada tahun 2017, sekitar 40.000 pengungsi Rohingya tinggal di India, dan setidaknya 13.000 di antaranya masuk antara tahun 2012-2016. Lebih dari 20.000 orang terdaftar di UNHCR. Sebagian besar warga Rohingya tinggal di kamp-kamp dan permukiman informal di kota Delhi, Hyderabad, Jammu, Noida, dan Nuh.
Menurut <a href=""https://www.refugeesinternational.org/reports-briefs/shadow-of-refuge-rohingya-refugees-in-india/"">Refugees International</a>, pengungsi Rohingya sebagian besar berasal dari Bangladesh. Para pengungsi mengatakan kepada tim Refugees International bahwa mereka meninggalkan Bangladesh dan datang ke India karena mereka tidak mendapatkan tempat tinggal dan ransum di kamp-kamp pengungsian.&nbsp;
Kondisi yang memburuk di kamp-kamp Bangladesh, termasuk meningkatnya insiden serangan dan pembunuhan yang ditargetkan oleh kelompok-kelompok radikal, juga memotivasi beberapa orang Rohingya untuk pergi ke India. Sebagian lainnya, yang menghadapi kesulitan di India, memilih untuk kembali ke Bangladesh.
Video yang memperlihatkan kondisi pengungsi Rohingya di India mudah dijumpai pada kanal-kanal YouTube stasiun televisi berita.&nbsp;
Kanal YouTube stasiun televisi <a href=""https://www.youtube.com/watch?v=tVGcy1pDzx4"">Al Jazeera English</a> pernah memuat laporan berjudul ""India: Baby dies after teargas fired at Rohingya refugees trying to escape detention centre"". Laporan itu diunggah pada 25 Juli 2023.

 <a href=""https://www.youtube.com/watch?v=92lp9X9GuRk"">CBC News: The National</a> juga pernah melaporkan kondisi pengungsi Rohingya di India yang saat ini menghadapi ancaman deportasi kembali ke Myanmar.

Regulasi Pemerintah India untuk Pengungsi Rohingya
Menurut laporan BBC, India tidak menandatangani undang-undang internasional seperti Konvensi PBB tahun 1951 dan Protokol tahun 1967, yang menjamin hak pengungsi untuk mencari suaka dan melindungi mereka agar tidak dikirim kembali ke tempat-tempat yang mengancam jiwa. India juga tidak memiliki kebijakan nasional atau undang-undang untuk menangani pengungsi.&nbsp;
Dengan demikian India tidak memiliki prosedur yang memungkinkan pengungsi untuk mencari suaka dan mereka yang memasuki negara tersebut tanpa visa diperlakukan sebagai imigran ilegal berdasarkan Undang-Undang Orang Asing atau Undang-Undang Paspor India.
Satu-satunya perlindungan yang dimiliki pengungsi di India adalah hak untuk hidup berdasarkan Pasal 21 dan perlindungan terhadap penyalahgunaan kekuasaan secara sewenang-wenang berdasarkan Pasal 14 konstitusi.
Pada tahun 2019, pemerintahan Perdana Menteri Narendra Modi sebenarnya mengesahkan Undang-Undang Amandemen Kewarganegaraan (CAA) yang menawarkan amnesti dan mempercepat jalan menuju kewarganegaraan India bagi &ldquo;imigran ilegal&rdquo; non-Muslim dari negara-negara tetangga, seperti Pakistan, Bangladesh, dan Afghanistan. Namun UU ini kemudian mendapatkan protes yang luas.
India pernah mendeportasi beberapa pria etnis Rohingya pada tahun 2017, namun keputusan itu memicu kecaman internasional. Suhas Chakma, direktur lembaga think tank Rights and Risks Analysis Group yang dikutip oleh BBC, mengatakan, alasan mengapa banyak pengungsi Rohingya tidak dideportasi saat ini adalah karena ada serangkaian kasus di Mahkamah Agung yang meminta pemerintah untuk tidak mengambil tindakan drastis.
Pada tahun 1996, misalnya Mahkamah Agung memutuskan bahwa prinsip tidak kembalinya pengungsi adalah bagian dari hak untuk hidup berdasarkan Pasal 21 konstitusi.","https://www.tiktok.com/@abang_india/video/7309411160229481733?q=rohingya&amp;t=1703670270804
https://web.archive.org/save/https://www.tiktok.com/@abang_india/video/7309411160229481733?q=rohingya&amp;t=1703670270804
https://reliefweb.int/report/india/acaps-briefing-note-india-myanmar-refugees-28-july-2023#:~:text=As%20at%202023%2C%20India%20was,11%2F05%2F2023).
https://www.refugeesinternational.org/reports-briefs/shadow-of-refuge-rohingya-refugees-in-india/
https://www.youtube.com/watch?v=tVGcy1pDzx4
https://www.youtube.com/watch?v=92lp9X9GuRk
mailto:cekfakta@tempo.co.id",2023-12-30,"Berdasarkan pemeriksaan fakta Tempo, klaim bahwa tidak ada pengungsi Rohingya di India adalahkeliru. Setidaknya 13.000 pengungsi Rohingya memasuki India antara tahun 2012 dan 2016.&nbsp;
Gelombang pengungsi Rohingya telah datang ke India sejak tahun 1970 dari Myanmar dan Bangladesh. Menurut perkiraan publik Pemerintah India pada tahun 2017, sekitar 40.000 pengungsi Rohingya tinggal di India, dan setidaknya 13.000 di antaranya masuk antara tahun 2012-2016. Lebih dari 20.000 orang terdaftar di UNHCR. Sebagian besar warga Rohingya tinggal di kamp-kamp dan permukiman informal di kota Delhi, Hyderabad, Jammu, Noida, dan Nuh."
Salah,"Seluruh Kematian di US, 1% Karena Covid 19",Opss! Data CDC menunjukkan bahwa 99% kematian akibat Covid bukan disebabkan oleh virus.  Berita ini mengingatkan saya kepada stempel penyebar hoax oleh kemenkes dan kominfo,"Sebuah akun Twitter @yo2thok mengunggah tangkapan layar dari artikel dailymail.co.uk yang berjudul “99% of ‘Covid deaths’ not primarily caused by the virus, CDC data shows (terjemahan : Data CDC menunjukkan bahwa 99% ‘kematian akibat Covid’ bukan disebabkan oleh virus.” Ia memberikan keterangan tambahan yang menegaskan bahwa di 99% kematian di Amerika bukan karena Covid.  

Faktanya, dalam artikel dailymail disebutkan data yang dituliskan berasal dari The Centers for Disease Control and Prevention (CDC) dalam rentang tanggal 13 sampai 19 Agustus 2023. CDC menunjukkan 324 kematian akibat Covid tercatat dalam pekan yang berakhir 19 Agustus. Hanya 1,7 persen dari keseluruhan kematian pada minggu itu. 

Sebelumnya, dailymail menuliskan klaim seperti pada tangkapan layar di Twitter. Namun pihaknya telah mengkonfirmasikan adanya perubahan isi berita.

“Catatan kaki di bagian bawah pelacak data Covid CDC menjelaskan persentase seluruh kematian yang dilaporkan yang dikaitkan dengan Covid-19 dihitung berdasarkan jumlah kematian karena semua penyebab.  Kami telah mengubah artikel untuk mencerminkan hal ini.”

Dengan demikian, klaim seluruh kematian di US 1% Karena Covid 19 adalah tidak benar. Informasi tersebut tidak lengkap sehingga tergolong dalam kategori konteks yang salah. ","https://www.dailymail.co.uk/health/article-12453329/Covid-blame-just-1-weekly-deaths-causes.html

https://databoks.katadata.co.id/datapublish/2023/08/26/kematian-karena-covid-19-di-amerika-seminggu-176-jiwa-tertinggi-di-amerika-serikat",2023-09-21,"Informasi tidak lengkap. Berdasarkan artikel asli dailymail.co.uk, dijelaskan bahwa data tersebut merupakan data mingguan statistik angka kematian di Amerika Serikat dalam rentang tanggal 13 sampai 19 Agustus 2023. Sebelumnya, dailymail menuliskan klaim seperti pada tangkapan layar di Twitter. Namun pihaknya telah mengkonfirmasikan adanya perubahan isi berita."
Salah,” FERDY SAMBO KAGET JESSICA KUMALA BONGKAR BUKTI INI DI DEPAN HAKIM”,Ferdy Sambo Langsung K4G3T S3k3tika Jessica Kumala B3rik4n BVKT1 Ini Depan H4k1m…,"Akun Facebook dengan nama pengguna “Care” mengunggah video dengan narasi  Ferdy Sambo kaget ketika Jessica Kumala bongkar bukti ini di depan hakim saat di persidangan.

Setelah melakukan penelusuran, thumbnail video tersebut merupakan hasil editan dan isi video tersebut adalah potongan dari video sidang kasus pembunuhan Ferdy Sambo terhadap Brigadir J dan Video kasus pembunuhan kopi sianida dengan tersangka Jessica Kumala Wongso. Jadi unggahan tersebut hanya berisi potongan-potongan video dari kasus persidangan yang berbeda.

Saat ini Jessica sedang menjalani massa hukuman kurungan penjara selama 20 tahun, dalam dakwaan pembunuhan berencana. Sampai sekarang, Jessica masih dipenjara di Rutan Pondok Bambu, Jakarta Timur. Dan tidak ada bukti bahwa Jessica datang ke persidangan Ferdy Sambo untuk memberikan bukti kepada hakim.

Dengan demikian, klaim Ferdy Sambo kaget ketika Jessica Kumala bongkar bukti ini di depan hakim, yang ternyata itu adalah dua kasus yang berbeda dan merupakan konten yang dimanipulasi. ","https://nasional.sindonews.com/read/970805/13/momen-geng-sambo-duduk-bersama-di-ruang-sidang-pengadilan-1671160346
https://youtu.be/3iJ-_hL91D4",2023-01-12,"Hasil periksa fakta Yudho Ardi

Informasi yang salah. Faktanya, video tersebut merupakan hasil editan, unggahan tersebut hanya berisi potongan-potongan video dari peristiwa yang tidak berkaitan."
Salah,Presiden FIFA Ancam Bubarkan Piala Asia,"OTAK MAFIA BOLA !! FIFA BUBARKAN PIALA ASIA DAN SANKSI AFC USAI KEJADIAN KECURANGAN OLEH WASIT, JADI TUNTUTAN SAY","Kanal YouTube @freekicktimnas mengunggah video dengan klaim bahwa Presiden FIFA, Gianni Infantino, ancam akan bubarkan turnamen Piala Asia setelah ditemukan sejumlah kejanggalan dalam laga Indonesia vs Irak yang digelar pada 15 Januari 2024. Infantino yang menonton pertandingan secara langsung menyatakan keprihatinan dan kekecewaannya terhadap kredibilitas turnamen tersebut.

Setelah menonton keseluruhan video, faktanya tidak ditemukan informasi dan bukti kredibel mengenai ancaman pembubaran turnamen Piala Asia oleh FIFA seperti yang diklaim pada unggahan.

Diketahui bahwa laga Piala Asia 2023 antara Indonesia dan Irak yang digelar pada 15 Januari 2024 berakhir dengan skor 1-3 untuk kemenangan Irak. Namun, kontroversi terjadi pada menit ke-45 ketika Osama Rashid mencetak gol. Rekaman menunjukkan bahwa salah satu pemain Irak, Mohanad Ali, berada dalam posisi offside sebelum gol terjadi. Sayangnya, setelah pemeriksaan VAR, gol tersebut tetap disahkan.

Di sisi lain, pihak Timnas Indonesia telah melayangkan surat resmi ke Konfederasi Sepak Bola Asia (AFC) terkait gol kontroversial tersebut. Melalui surat ini, Timnas Indonesia berharap bahwa ke depannya perangkat pertandingan dapat bersikap lebih tegas dan cermat dalam membuat keputusan.

Dengan demikian, informasi yang disebarluaskan oleh kanal YouTube @freekicktimnas merupakan informasi yang salah.","https://www.detik.com/sulsel/sepakbola/d-7144516/indonesia-resmi-layangkan-protes-ke-afc-terkait-gol-kontroversi-irak
https://www.tribunnews.com/superskor/2024/01/16/pssi-layangkan-protes-keras-ke-afc-bahas-gol-kontroversi-irak
https://turnbackhoax.id/2024/01/22/salah-presiden-fifa-ancam-bubarkan-piala-asia/",2024-01-22,"Hasil periksa fakta Ainayya Al Fatikhah.

Unggahan video yang mengklaim bahwa Gianni Infantino ancam akan bubarkan Piala Asia setelah ditemukan sejumlah kejanggalan pada turnamen merupakan konten yang menyesatkan. Faktanya, tidak ditemukan informasi dan bukti kredibel mengenai klaim tersebut."
Salah,01 Mata Uang BRICS Setara 3.66000 Rupiah,"Sejak Minggu (27/10/2024) beredar video [arsip] dari akun TikTok uungsahuri2, isinya mengeklaim 01 mata uang BRICS setara dengan 3.66000 rupiah. Berikut narasi lengkapnya: kita rayakan dan suport untuk mata uang global dari DOLAR ke BRICK menjadi mata uang dunia saat ini. 01 BRICS - 3.66000 Rupiah. hapus DOLAR dari dunia agar setabil. #thanks#futin satu brics jika dalam rupiah indonesia sangat pantastis artinya kita tidak akan di tekan oleh erofa global.. ini berlanjut kesetaraan Hingga Minggu (24/11/2024), unggahan telah disukai sekitar 18 ribu pengguna TikTok dan dibagikan ulang lebih dari 1.300 kali.","Pemeriksa Fakta Mafindo (TurnBackHoax) mencari tahu informasi mengenai mata uang BRICS melalui kolom pencarian Google dengan kata kunci “Mata Uang BRICS”. Hasilnya, ditemukan pemberitaan antaranews.com “Apa itu mata uang BRICS dan tujuannya?”. 
Dari berita tersebut, diketahui bahwa negara blok ekonomi BRICS (Brasil, Rusia, India, China, dan Afrika Selatan) berencana membuat mata uang cadangan baru untuk mengurangi dominansi dolar Amerika Serikat (AS) dalam perdagangan internasional. Namun, hingga kini mata uang BRICS masih dalam pengembangan dan belum ada pengumuman resmi tentang peluncurannya.
Sebelumnya, TurnBackHoax telah membongkar kebenaran beragam klaim seputar BRICS, beberapa di antaranya diulas dalam artikel:
[SALAH] Mata Uang BRICS Sudah Rilis, Ada Gambar Bendera Indonesia
[SALAH] 159 Negara Bakal Adopsi Sistem Pembayaran BRICS
","[antaranews.com] Apa itu mata uang BRICS dan tujuannya?
[turnbackhoax.id] [SALAH] Mata Uang BRICS Sudah Rilis, Ada Gambar Bendera Indonesia
[turnbackhoax.id] [SALAH] 159 Negara Bakal Adopsi Sistem Pembayaran BRICS
https://www.tiktok.com/@uungsahuri2/video/7430232612804873478 (tautan asli unggahan TikTok “uungsahuri2”)
https://archive.ph/Gr86I (arsip unggahan TikTok “uungsahuri2”)
https://www.antaranews.com/berita/4424289/apa-itu-mata-uang-brics-dan-tujuannya 
https://turnbackhoax.id/2024/10/29/salah-mata-uang-brics-sudah-rilis-ada-gambar-bendera-indonesia/ 
https://turnbackhoax.id/2024/11/02/salah-159-negara-bakal-adopsi-sistem-pembayaran-brics/ 
",2024-11-24,"Unggahan berisi narasi “01 mata uang BRICS setara 3.66000 rupiah” merupakan konten yang menyesatkan (misleading content).

(Ditulis oleh Moch. Marcellodiansyah)"
